ts,open,high,low,close,volume
1661457600000,0.06895,0.06943,0.06875,0.06926,17630452.0
1661461200000,0.06925,0.06943,0.069,0.06918,10404668.0
1661464800000,0.06917,0.06931,0.06876,0.06895,17580996.0
1661468400000,0.06895,0.06922,0.06862,0.06898,16136105.0
1661472000000,0.06898,0.06905,0.06812,0.0684,36894355.0
1661475600000,0.06837,0.06899,0.06832,0.06893,15234982.0
1661479200000,0.06892,0.06937,0.06886,0.06932,14387787.0
1661482800000,0.06933,0.06933,0.06896,0.06903,10186865.0
1661486400000,0.06902,0.06923,0.0687,0.06885,13040282.0
1661490000000,0.06885,0.06891,0.06737,0.06782,53098517.0
1661493600000,0.06782,0.06809,0.0677,0.06788,15604681.0
1661497200000,0.0679,0.06798,0.0672,0.06796,20337860.0
1661500800000,0.06795,0.06844,0.06768,0.06835,23320754.0
1661504400000,0.06834,0.06943,0.0682,0.06866,36110884.0
1661508000000,0.06867,0.06871,0.0678,0.06802,27666928.0
1661511600000,0.06803,0.06813,0.06655,0.06741,74993366.0
1661515200000,0.06741,0.06891,0.06728,0.06874,82374958.0
1661518800000,0.06875,0.06957,0.06811,0.06878,69485244.0
1661522400000,0.06877,0.069,0.06721,0.0674,133396583.0
1661526000000,0.06739,0.06744,0.06487,0.06591,164675847.0
1661529600000,0.06591,0.06609,0.06503,0.06585,68947274.0
1661533200000,0.06584,0.06587,0.0653,0.06533,34499395.0
1661536800000,0.06534,0.06545,0.06445,0.06528,68015847.0
1661540400000,0.06528,0.06552,0.06508,0.0654,17656087.0
1661544000000,0.06539,0.06579,0.06537,0.06566,18655765.0
1661547600000,0.06565,0.06591,0.06515,0.06538,18872134.0
1661551200000,0.06537,0.06558,0.06373,0.0644,82988498.0
1661554800000,0.06439,0.06456,0.06273,0.06351,119701483.0
1661558400000,0.06351,0.06412,0.06326,0.06377,44792848.0
1661562000000,0.06376,0.06403,0.0636,0.06383,31740685.0
1661565600000,0.06382,0.06407,0.06336,0.0637,41711327.0
1661569200000,0.06368,0.06389,0.06346,0.0638,21976723.0
1661572800000,0.06379,0.06401,0.06325,0.06344,36229741.0
1661576400000,0.06345,0.06356,0.06225,0.06309,76218361.0
1661580000000,0.06309,0.06357,0.06294,0.06338,36829551.0
1661583600000,0.06338,0.06387,0.06317,0.06382,35723099.0
1661587200000,0.06383,0.06398,0.06361,0.06375,30282289.0
1661590800000,0.06374,0.06387,0.06355,0.06371,26851252.0
1661594400000,0.06371,0.064,0.06361,0.06373,25651771.0
1661598000000,0.06371,0.06408,0.06365,0.06378,24866686.0
1661601600000,0.06379,0.06392,0.06358,0.06373,19231394.0
1661605200000,0.06372,0.06401,0.06333,0.06371,25566034.0
1661608800000,0.06371,0.06388,0.06312,0.06313,30206771.0
1661612400000,0.06313,0.06348,0.06245,0.06308,47274915.0
1661616000000,0.06309,0.06326,0.06234,0.06319,34824563.0
1661619600000,0.06319,0.06337,0.06287,0.06291,21463106.0
1661623200000,0.06291,0.06308,0.0626,0.06267,14174853.0
1661626800000,0.06267,0.06319,0.06251,0.06308,15717241.0
1661630400000,0.06307,0.06323,0.06278,0.06321,11617688.0
1661634000000,0.06322,0.06325,0.06273,0.06278,12721648.0
1661637600000,0.06277,0.06375,0.06259,0.06335,32505011.0
1661641200000,0.06335,0.06373,0.06321,0.06351,15428218.0
1661644800000,0.06353,0.06367,0.06308,0.0635,24171944.0
1661648400000,0.0635,0.06389,0.06335,0.06371,17222881.0
1661652000000,0.06369,0.06417,0.06356,0.06358,14383083.0
1661655600000,0.06357,0.06369,0.06324,0.06326,14513684.0
1661659200000,0.06326,0.06336,0.06302,0.06331,20656644.0
1661662800000,0.06331,0.06364,0.06304,0.06364,13519656.0
1661666400000,0.06364,0.0637,0.06344,0.06356,14352981.0
1661670000000,0.06356,0.06395,0.06351,0.06379,9710190.0
1661673600000,0.06379,0.06396,0.06342,0.06355,19486648.0
1661677200000,0.06357,0.06388,0.06345,0.06377,21512275.0
1661680800000,0.06376,0.06426,0.06344,0.06413,48409225.0
1661684400000,0.06412,0.0643,0.06352,0.06389,36665715.0
1661688000000,0.06391,0.06407,0.06325,0.0633,24431602.0
1661691600000,0.0633,0.06356,0.06322,0.06339,13121188.0
1661695200000,0.06339,0.06388,0.06296,0.06353,32686018.0
1661698800000,0.06354,0.06386,0.06345,0.06378,19747318.0
1661702400000,0.06379,0.06427,0.06367,0.06369,23711037.0
1661706000000,0.06369,0.06401,0.06367,0.06384,8715371.0
1661709600000,0.06384,0.06421,0.06383,0.06409,13630595.0
1661713200000,0.06409,0.06432,0.06379,0.06388,12421985.0
1661716800000,0.06386,0.0642,0.0638,0.06388,10793291.0
1661720400000,0.06389,0.06408,0.06344,0.06369,10575658.0
1661724000000,0.06368,0.06386,0.0631,0.06313,33657089.0
1661727600000,0.06313,0.06322,0.06129,0.06178,75385630.0
1661731200000,0.06177,0.06195,0.061,0.06152,75743355.0
1661734800000,0.06153,0.06162,0.06088,0.06136,31522767.0
1661738400000,0.06136,0.06177,0.06131,0.06155,18021864.0
1661742000000,0.06155,0.06214,0.06147,0.06187,21492038.0
1661745600000,0.06188,0.06198,0.06171,0.06173,13398783.0
1661749200000,0.06173,0.06189,0.06128,0.06136,15092021.0
1661752800000,0.06135,0.06194,0.06135,0.06182,16242507.0
1661756400000,0.0618,0.06199,0.06152,0.06178,13198156.0
1661760000000,0.06179,0.06184,0.06125,0.06133,19079696.0
1661763600000,0.06132,0.06177,0.0613,0.0617,15064505.0
1661767200000,0.06171,0.06184,0.0615,0.06174,13374572.0
1661770800000,0.06173,0.06185,0.06153,0.06185,14099970.0
1661774400000,0.06184,0.06327,0.0618,0.06272,36006234.0
1661778000000,0.06273,0.06346,0.06264,0.06318,32804086.0
1661781600000,0.06318,0.06409,0.06308,0.06335,69536403.0
1661785200000,0.06333,0.06372,0.06325,0.06347,18810254.0
1661788800000,0.06347,0.06365,0.06305,0.06328,72263397.0
1661792400000,0.06329,0.06346,0.06309,0.0633,18197287.0
1661796000000,0.0633,0.06331,0.0628,0.06311,20031913.0
1661799600000,0.0631,0.06317,0.06287,0.06303,9441213.0
1661803200000,0.06303,0.06348,0.06292,0.06344,13163205.0
1661806800000,0.06345,0.06355,0.06324,0.06343,8945708.0
1661810400000,0.06343,0.06357,0.06325,0.06343,14579219.0
1661814000000,0.06343,0.06405,0.06319,0.06384,19091218.0
1661817600000,0.06383,0.06431,0.06352,0.06384,25331211.0
1661821200000,0.06385,0.06392,0.06329,0.06336,16161586.0
1661824800000,0.06335,0.0634,0.06315,0.06329,13603606.0
1661828400000,0.06329,0.06359,0.06323,0.06354,12066567.0
1661832000000,0.06354,0.06448,0.06354,0.06418,31531129.0
1661835600000,0.06418,0.06424,0.06394,0.06395,19569779.0
1661839200000,0.06395,0.06403,0.06371,0.06378,18842906.0
1661842800000,0.06378,0.0643,0.06375,0.06397,24330282.0
1661846400000,0.06398,0.06425,0.06384,0.06394,13967263.0
1661850000000,0.06394,0.06407,0.06386,0.06402,10936232.0
1661853600000,0.06401,0.06429,0.06355,0.06391,26059331.0
1661857200000,0.06391,0.06402,0.06375,0.0639,11584623.0
1661860800000,0.06391,0.06408,0.06325,0.06348,19124249.0
1661864400000,0.06348,0.06365,0.0632,0.06336,21921431.0
1661868000000,0.06336,0.06343,0.06119,0.06171,68064479.0
1661871600000,0.06172,0.06191,0.06152,0.06165,37610549.0
1661875200000,0.06164,0.0619,0.06007,0.0604,77452038.0
1661878800000,0.06041,0.06075,0.06025,0.06073,27378289.0
1661882400000,0.06072,0.06102,0.06065,0.06093,22680357.0
1661886000000,0.06094,0.06223,0.06085,0.06156,48834096.0
1661889600000,0.06156,0.062,0.06124,0.06181,19906496.0
1661893200000,0.06182,0.06192,0.06132,0.06151,9783156.0
1661896800000,0.06153,0.0621,0.06137,0.06208,15446515.0
1661900400000,0.06208,0.06211,0.06132,0.06154,18848596.0
1661904000000,0.06155,0.06238,0.06152,0.06203,25213980.0
1661907600000,0.06205,0.06287,0.06193,0.06252,42644408.0
1661911200000,0.06252,0.06321,0.06247,0.06298,29420841.0
1661914800000,0.06299,0.06346,0.06293,0.06323,26197668.0
1661918400000,0.06323,0.06335,0.06297,0.06299,16159479.0
1661922000000,0.06299,0.06332,0.06298,0.06309,14506278.0
1661925600000,0.06309,0.06339,0.06256,0.06271,37002612.0
1661929200000,0.06271,0.06288,0.06245,0.06258,20381664.0
1661932800000,0.06258,0.06286,0.0621,0.06263,25117469.0
1661936400000,0.06263,0.06272,0.06228,0.0625,15260065.0
