ts,open,high,low,close,volume
1661457600000,35.79,35.95,35.67,35.93,45685.8
1661461200000,35.92,35.99,35.53,35.66,60913.01
1661464800000,35.66,35.68,35.11,35.28,139162.29
1661468400000,35.27,35.36,35.06,35.27,122304.46
1661472000000,35.26,35.27,34.51,34.83,250479.7
1661475600000,34.82,35.1,34.78,35.06,88566.6
1661479200000,35.06,35.22,34.98,35.21,52748.9
1661482800000,35.22,35.23,35.09,35.1,57233.11
1661486400000,35.1,35.23,34.98,35.09,60785.67
1661490000000,35.09,35.16,34.41,34.64,193652.82
1661493600000,34.63,34.86,34.58,34.7,77321.98
1661497200000,34.71,34.76,34.48,34.69,97291.58
1661500800000,34.68,34.77,34.51,34.61,98354.99
1661504400000,34.6,34.78,34.57,34.73,62631.69
1661508000000,34.74,34.77,34.46,34.54,85758.07
1661511600000,34.55,34.6,33.89,34.25,226748.67
1661515200000,34.24,35.12,34.09,35.11,362503.29
1661518800000,35.1,35.79,34.96,35.26,362320.47
1661522400000,35.26,35.48,34.04,34.15,816163.21
1661526000000,34.15,34.16,33.0,33.28,721668.15
1661529600000,33.29,33.39,32.75,33.15,279082.69
1661533200000,33.14,33.25,33.0,33.17,130511.35
1661536800000,33.18,33.21,32.56,32.94,239813.38
1661540400000,32.93,33.06,32.8,32.92,122703.34
1661544000000,32.93,33.16,32.9,32.98,99264.41
1661547600000,32.97,33.13,32.36,32.8,132174.05
1661551200000,32.8,32.86,31.97,32.3,226157.86
1661554800000,32.3,32.36,31.36,31.72,424791.99
1661558400000,31.72,32.03,31.52,31.85,158836.33
1661562000000,31.84,31.98,31.74,31.89,116690.36
1661565600000,31.89,31.97,31.55,31.77,127897.1
1661569200000,31.76,31.95,31.76,31.88,76594.56
1661572800000,31.87,32.0,31.69,31.76,88137.43
1661576400000,31.75,31.79,31.14,31.56,191823.48
1661580000000,31.55,31.91,31.52,31.83,97823.26
1661583600000,31.82,32.25,31.67,32.23,126266.08
1661587200000,32.23,32.25,31.93,32.02,137959.5
1661590800000,32.03,32.06,31.77,31.84,132987.64
1661594400000,31.84,32.08,31.84,31.92,80024.81
1661598000000,31.91,32.06,31.84,31.99,72209.58
1661601600000,31.98,32.05,31.88,31.93,75660.9
1661605200000,31.93,32.02,31.66,31.85,123817.04
1661608800000,31.86,31.92,31.6,31.61,80904.43
1661612400000,31.61,31.78,31.05,31.35,381892.26
1661616000000,31.36,31.41,30.86,31.27,344735.5
1661619600000,31.27,31.44,31.11,31.19,150150.88
1661623200000,31.18,31.26,31.03,31.08,70300.91
1661626800000,31.08,31.39,31.02,31.33,66986.34
1661630400000,31.33,31.44,31.18,31.42,68923.41
1661634000000,31.43,31.48,31.13,31.13,41302.84
1661637600000,31.13,31.67,31.04,31.4,142137.38
1661641200000,31.4,31.66,31.34,31.53,71332.13
1661644800000,31.53,31.59,31.17,31.39,126920.0
1661648400000,31.38,31.66,31.29,31.52,84934.55
1661652000000,31.52,31.79,31.49,31.51,56865.91
1661655600000,31.51,31.58,31.37,31.41,48317.1
1661659200000,31.41,31.47,31.26,31.47,36310.28
1661662800000,31.47,31.65,31.31,31.64,53172.29
1661666400000,31.64,31.71,31.54,31.61,66246.29
1661670000000,31.61,31.86,31.57,31.79,79280.06
1661673600000,31.79,31.92,31.54,31.66,97522.46
1661677200000,31.65,31.78,31.57,31.68,40201.53
1661680800000,31.68,32.05,31.51,31.78,197313.54
1661684400000,31.79,31.9,31.58,31.77,84116.72
1661688000000,31.78,31.92,31.57,31.62,81636.95
1661691600000,31.62,31.69,31.52,31.6,46972.36
1661695200000,31.61,31.73,31.22,31.53,110065.5
1661698800000,31.54,31.91,31.51,31.85,79748.21
1661702400000,31.85,32.21,31.73,31.74,173235.6
1661706000000,31.75,31.97,31.66,31.81,84152.05
1661709600000,31.8,31.97,31.78,31.9,39176.55
1661713200000,31.91,31.97,31.67,31.7,57031.87
1661716800000,31.7,31.9,31.68,31.73,45538.69
1661720400000,31.73,31.9,31.38,31.56,55427.4
1661724000000,31.55,31.65,31.25,31.3,161028.61
1661727600000,31.3,31.31,30.19,30.44,339872.81
1661731200000,30.43,30.59,30.0,30.19,307100.35
1661734800000,30.18,30.34,30.11,30.33,96571.83
1661738400000,30.33,30.65,30.29,30.54,99604.85
1661742000000,30.53,30.97,30.48,30.69,145603.21
1661745600000,30.68,30.79,30.42,30.46,109579.22
1661749200000,30.45,30.57,30.11,30.16,165115.81
1661752800000,30.16,30.58,30.16,30.51,91420.27
