ts,open,high,low,close,volume
1661457600000,0.349,0.3522,0.3476,0.3511,8104415.0
1661461200000,0.3512,0.3513,0.3494,0.3498,4336331.0
1661464800000,0.3498,0.3501,0.3477,0.3483,4013104.0
1661468400000,0.3484,0.3498,0.3473,0.3491,6014335.0
1661472000000,0.3491,0.3491,0.3457,0.3463,6663612.0
1661475600000,0.3463,0.3476,0.3462,0.3469,5328802.0
1661479200000,0.347,0.3476,0.3458,0.3469,6345969.0
1661482800000,0.3469,0.3478,0.3462,0.3475,4532689.0
1661486400000,0.3474,0.3498,0.3472,0.3486,9529674.0
1661490000000,0.3486,0.3493,0.346,0.347,7566889.0
1661493600000,0.347,0.3507,0.3469,0.3482,8909670.0
1661497200000,0.3483,0.3496,0.3459,0.3493,8623377.0
1661500800000,0.3493,0.3712,0.3491,0.37,65187895.0
1661504400000,0.3701,0.3704,0.3609,0.3619,33771408.0
1661508000000,0.3619,0.3621,0.3577,0.359,21622400.0
1661511600000,0.3591,0.3595,0.3512,0.3534,23327337.0
1661515200000,0.3535,0.3578,0.3506,0.3573,27050306.0
1661518800000,0.3574,0.36,0.3542,0.3566,19969988.0
1661522400000,0.3565,0.358,0.3484,0.3491,34700604.0
1661526000000,0.3491,0.3492,0.3391,0.3403,41070070.0
1661529600000,0.3402,0.3403,0.3331,0.3352,28460290.0
1661533200000,0.3352,0.3366,0.3347,0.3353,11740838.0
1661536800000,0.3352,0.3366,0.3325,0.3361,14078295.0
1661540400000,0.3361,0.3409,0.3359,0.3403,7515580.0
1661544000000,0.3403,0.3414,0.3387,0.341,11505341.0
1661547600000,0.3409,0.343,0.34,0.3424,7825206.0
1661551200000,0.3424,0.3433,0.3344,0.3399,11234169.0
1661554800000,0.3398,0.3405,0.3331,0.3393,22651349.0
1661558400000,0.3393,0.3447,0.3356,0.336,15752465.0
1661562000000,0.336,0.3372,0.3337,0.3354,7482510.0
1661565600000,0.3353,0.3364,0.3325,0.3344,10733862.0
1661569200000,0.3344,0.337,0.3342,0.3366,4245411.0
1661572800000,0.3366,0.3367,0.3342,0.3344,4890770.0
1661576400000,0.3342,0.3354,0.3283,0.3328,21469529.0
1661580000000,0.3327,0.3344,0.3313,0.3341,6213397.0
1661583600000,0.3341,0.3364,0.3337,0.3363,7744591.0
1661587200000,0.3363,0.3364,0.3346,0.3352,6690235.0
1661590800000,0.3351,0.3354,0.3336,0.3345,6782729.0
1661594400000,0.3346,0.3369,0.3344,0.3359,5428025.0
1661598000000,0.3359,0.3379,0.3359,0.3371,3518353.0
1661601600000,0.337,0.3373,0.3351,0.3359,4560399.0
1661605200000,0.336,0.3372,0.3346,0.3357,5559511.0
1661608800000,0.3357,0.3364,0.3341,0.3342,5227796.0
1661612400000,0.3342,0.3361,0.3308,0.3341,14651575.0
1661616000000,0.3341,0.3366,0.3322,0.3363,11915781.0
1661619600000,0.3362,0.3367,0.3338,0.334,5776334.0
1661623200000,0.334,0.3348,0.3327,0.3341,4592052.0
1661626800000,0.334,0.3356,0.3335,0.335,3005105.0
1661630400000,0.335,0.336,0.3345,0.3358,3147204.0
1661634000000,0.3358,0.3359,0.3338,0.3339,2247011.0
1661637600000,0.334,0.3369,0.3324,0.3345,9799089.0
