ts_iso,ts_ms,close,eq_supertrend,eq_bb_squeeze,eq_sma_trend,eq_sma_cross,eq_donchian,eq_trend_200,eq_rsi_revert,eq_macd,eq_keltner,eq_pctb_revert,eq_roc_mom,eq_obv_slope,in_supertrend,in_bb_squeeze,in_sma_trend,in_sma_cross,in_donchian,in_trend_200,in_rsi_revert,in_macd,in_keltner,in_pctb_revert,in_roc_mom,in_obv_slope
2026-08-22T17:00:00+00:00,1787418000000,0.09318,998.5007,1000.0,998.5007,998.5007,998.5007,998.5007,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,1,1,1,1,0,0,0,0,0,0
2026-08-22T18:00:00+00:00,1787421600000,0.09287,995.1788,1000.0,995.1788,995.1788,995.1788,995.1788,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,1,1,1,1,0,0,0,0,0,0
2026-08-23T05:00:00+00:00,1787461200000,0.08949,958.9593,1000.0,957.5214,957.5214,957.5214,958.9593,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T18:00:00+00:00,1787594400000,0.08921,955.9589,1000.0,957.5214,957.5214,957.5214,954.5255,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T18:00:00+00:00,1787594400000,0.08921,955.9589,1000.0,957.5214,957.5214,957.5214,954.5255,1000.0,1000.0,1000.0,998.5007,1000.0,1000.0,1,0,0,0,0,0,0,0,0,1,0,0
2026-08-24T19:00:00+00:00,1787598000000,0.08906,954.3515,1000.0,957.5214,957.5214,957.5214,954.5255,1000.0,1000.0,1000.0,996.8218,1000.0,1000.0,1,0,0,0,0,0,0,0,0,1,0,0
2026-08-24T20:00:00+00:00,1787601600000,0.08944,958.4236,1000.0,957.5214,957.5214,957.5214,953.0944,1000.0,1000.0,1000.0,1001.0751,1000.0,1000.0,1,0,0,0,0,1,0,0,0,1,0,0
2026-08-24T21:00:00+00:00,1787605200000,0.09026,967.2105,1000.0,957.5214,957.5214,957.5214,961.8325,1000.0,1000.0,1000.0,1010.2531,1000.0,1000.0,1,0,0,0,0,1,0,0,0,1,0,0
2026-08-24T22:00:00+00:00,1787608800000,0.08956,959.7095,1000.0,957.5214,957.5214,957.5214,954.3731,1000.0,1000.0,1000.0,1002.4182,1000.0,1000.0,1,0,0,0,0,1,0,0,0,1,0,0
2026-08-24T23:00:00+00:00,1787612400000,0.09011,965.6032,1000.0,957.5214,957.5214,957.5214,960.2341,1000.0,1000.0,1000.0,1008.5742,1000.0,1000.0,1,0,0,0,0,1,0,0,0,1,0,0
2026-08-25T00:00:00+00:00,1787616000000,0.09143,979.7481,1000.0,957.5214,957.5214,957.5214,974.3003,1000.0,998.5007,1000.0,1021.814,1000.0,1000.0,1,0,0,0,0,1,0,1,0,0,0,0
2026-08-25T01:00:00+00:00,1787619600000,0.09106,975.7832,1000.0,957.5214,957.5214,957.5214,970.3575,1000.0,994.46,1000.0,1021.814,1000.0,1000.0,1,0,0,0,0,1,0,1,0,0,0,0
2026-08-25T02:00:00+00:00,1787623200000,0.09202,986.0704,1000.0,957.5214,957.5214,957.5214,980.5875,1000.0,1004.9441,1000.0,1021.814,1000.0,1000.0,1,0,0,0,0,1,0,1,0,0,0,0
2026-08-25T03:00:00+00:00,1787626800000,0.09194,985.2131,1000.0,957.5214,957.5214,957.5214,979.735,1000.0,1004.0704,1000.0,1021.814,1000.0,1000.0,1,0,0,0,0,1,0,1,0,0,0,0
2026-08-25T04:00:00+00:00,1787630400000,0.09206,986.499,1000.0,957.5214,957.5214,957.5214,981.0137,1000.0,1005.3809,1000.0,1021.814,1000.0,1000.0,1,0,0,0,0,1,0,1,0,0,0,0
2026-08-25T05:00:00+00:00,1787634000000,0.09268,993.1428,1000.0,957.5214,957.5214,957.5214,987.6206,1000.0,1012.1519,1000.0,1021.814,1000.0,1000.0,1,0,0,0,0,1,0,1,0,0,0,0
2026-08-25T06:00:00+00:00,1787637600000,0.09191,984.8916,1000.0,956.0858,956.0858,957.5214,979.4153,1000.0,1003.7428,1000.0,1021.814,1000.0,1000.0,1,0,1,1,0,1,0,1,0,0,0,0
2026-08-25T07:00:00+00:00,1787641200000,0.09082,973.2114,1000.0,944.7472,944.7472,957.5214,967.8,1000.0,991.839,1000.0,1021.814,1000.0,1000.0,1,0,1,1,0,1,0,1,0,0,0,0
2026-08-25T08:00:00+00:00,1787644800000,0.09105,975.676,1000.0,947.1397,947.1397,957.5214,970.2509,1000.0,994.3508,1000.0,1021.814,1000.0,1000.0,1,0,1,1,0,1,0,1,0,0,0,0
2026-08-25T09:00:00+00:00,1787648400000,0.09045,969.2465,1000.0,940.8983,940.8983,957.5214,962.4119,1000.0,987.7982,1000.0,1021.814,1000.0,1000.0,1,0,1,1,0,0,0,1,0,0,0,0
2026-08-25T10:00:00+00:00,1787652000000,0.09063,971.1754,1000.0,942.7707,942.7707,957.5214,962.4119,1000.0,988.2799,1000.0,1021.814,1000.0,1000.0,1,0,1,1,0,0,0,0,0,0,0,0
2026-08-25T11:00:00+00:00,1787655600000,0.09016,966.139,1000.0,937.8816,937.8816,957.5214,962.4119,1000.0,988.2799,1000.0,1021.814,1000.0,1000.0,1,0,1,1,0,0,0,0,0,0,0,0
2026-08-25T12:00:00+00:00,1787659200000,0.09014,965.9246,1000.0,937.6736,937.6736,957.5214,962.4119,1000.0,988.2799,1000.0,1021.814,1000.0,1000.0,1,0,1,1,0,0,0,0,0,0,0,0
2026-08-25T13:00:00+00:00,1787662800000,0.08828,945.9932,1000.0,916.948,916.948,957.5214,962.4119,1000.0,988.2799,1000.0,1021.814,1000.0,1000.0,1,0,0,0,0,0,0,0,0,0,0,0
2026-08-25T14:00:00+00:00,1787666400000,0.08908,954.5659,1000.0,916.948,916.948,957.5214,962.4119,1000.0,988.2799,1000.0,1021.814,1000.0,1000.0,1,0,0,0,0,0,0,0,0,0,0,0
2026-08-25T15:00:00+00:00,1787670000000,0.0892,955.8518,1000.0,916.948,916.948,957.5214,962.4119,1000.0,988.2799,1000.0,1021.814,1000.0,1000.0,1,0,0,0,0,0,0,0,0,0,0,0
