ts_iso,ts_ms,close,eq_supertrend,eq_bb_squeeze,eq_sma_trend,eq_sma_cross,eq_donchian,eq_trend_200,eq_rsi_revert,eq_macd,eq_keltner,eq_pctb_revert,eq_roc_mom,eq_obv_slope,in_supertrend,in_bb_squeeze,in_sma_trend,in_sma_cross,in_donchian,in_trend_200,in_rsi_revert,in_macd,in_keltner,in_pctb_revert,in_roc_mom,in_obv_slope
2026-08-24T18:00:00+00:00,1787594400000,0.757,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,998.5007,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,1,0,0,0,0
2026-08-24T19:00:00+00:00,1787598000000,0.7533,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,992.1304,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T20:00:00+00:00,1787601600000,0.7555,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,992.1304,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T21:00:00+00:00,1787605200000,0.7564,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,992.1304,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T22:00:00+00:00,1787608800000,0.75,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,992.1304,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24T23:00:00+00:00,1787612400000,0.7539,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,992.1304,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-25T00:00:00+00:00,1787616000000,0.7601,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,990.643,1000.0,1000.0,1000.0,998.5007,0,0,0,0,0,0,0,1,0,0,0,1
2026-08-25T01:00:00+00:00,1787619600000,0.758,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,987.906,1000.0,1000.0,1000.0,995.7421,0,0,0,0,0,0,0,1,0,0,0,1
2026-08-25T02:00:00+00:00,1787623200000,0.7654,1000.0,1000.0,1000.0,1000.0,998.5007,1000.0,1000.0,997.5505,1000.0,1000.0,1000.0,1005.4631,0,0,0,0,1,0,0,1,0,0,0,1
2026-08-25T03:00:00+00:00,1787626800000,0.761,1000.0,1000.0,1000.0,1000.0,992.7607,1000.0,1000.0,991.816,1000.0,1000.0,1000.0,999.683,0,0,0,0,1,0,0,1,0,0,0,1
2026-08-25T04:00:00+00:00,1787630400000,0.7643,1000.0,1000.0,1000.0,1000.0,997.0657,1000.0,1000.0,996.1169,1000.0,1000.0,1000.0,1004.0181,0,0,0,0,1,0,0,1,0,0,0,1
2026-08-25T05:00:00+00:00,1787634000000,0.7656,1000.0,1000.0,998.5007,998.5007,998.7617,1000.0,1000.0,997.8112,1000.0,1000.0,1000.0,1005.7258,0,0,1,1,1,0,0,1,0,0,0,1
2026-08-25T06:00:00+00:00,1787637600000,0.7488,1000.0,1000.0,976.5901,976.5901,975.3805,1000.0,1000.0,975.9156,1000.0,1000.0,1000.0,982.1816,0,0,1,1,0,0,0,1,0,0,0,0
2026-08-25T07:00:00+00:00,1787641200000,0.7414,1000.0,1000.0,965.489,965.489,975.3805,1000.0,1000.0,964.8222,1000.0,998.5007,1000.0,982.1816,0,0,0,0,0,0,0,0,0,1,0,0
2026-08-25T08:00:00+00:00,1787644800000,0.7409,1000.0,1000.0,965.489,965.489,975.3805,1000.0,1000.0,964.8222,1000.0,997.8274,1000.0,982.1816,0,0,0,0,0,0,0,0,0,1,0,0
2026-08-25T09:00:00+00:00,1787648400000,0.7392,1000.0,1000.0,965.489,965.489,975.3805,1000.0,1000.0,964.8222,1000.0,995.5378,1000.0,982.1816,0,0,0,0,0,0,0,0,0,1,0,0
2026-08-25T10:00:00+00:00,1787652000000,0.7441,1000.0,1000.0,965.489,965.489,975.3805,1000.0,1000.0,964.8222,1000.0,1002.137,1000.0,982.1816,0,0,0,0,0,0,0,0,0,1,0,0
2026-08-25T11:00:00+00:00,1787655600000,0.7396,1000.0,1000.0,965.489,965.489,975.3805,1000.0,1000.0,964.8222,1000.0,996.0766,1000.0,982.1816,0,0,0,0,0,0,0,0,0,1,0,0
2026-08-25T12:00:00+00:00,1787659200000,0.7394,1000.0,1000.0,965.489,965.489,975.3805,1000.0,1000.0,964.8222,1000.0,995.8072,1000.0,982.1816,0,0,0,0,0,0,0,0,0,1,0,0
2026-08-25T13:00:00+00:00,1787662800000,0.7325,1000.0,1000.0,965.489,965.489,975.3805,1000.0,1000.0,964.8222,1000.0,986.5144,1000.0,982.1816,0,0,0,0,0,0,0,0,0,1,0,0
2026-08-25T14:00:00+00:00,1787666400000,0.7339,1000.0,1000.0,965.489,965.489,975.3805,1000.0,1000.0,964.8222,1000.0,988.3999,1000.0,982.1816,0,0,0,0,0,0,0,0,0,1,0,0
2026-08-25T15:00:00+00:00,1787670000000,0.7316,1000.0,1000.0,965.489,965.489,975.3805,1000.0,1000.0,964.8222,1000.0,985.3023,1000.0,982.1816,0,0,0,0,0,0,0,0,0,1,0,0
2026-08-25T16:00:00+00:00,1787673600000,0.7308,1000.0,1000.0,965.489,965.489,975.3805,1000.0,1000.0,964.8222,1000.0,984.2249,1000.0,982.1816,0,0,0,0,0,0,0,0,0,1,0,0
2026-08-25T17:00:00+00:00,1787677200000,0.7349,1000.0,1000.0,965.489,965.489,975.3805,1000.0,1000.0,964.8222,1000.0,989.7467,1000.0,982.1816,0,0,0,0,0,0,0,0,0,1,0,0
