ts_iso,ts_ms,close,eq_supertrend,eq_bb_squeeze,eq_sma_trend,eq_sma_cross,eq_donchian,eq_trend_200,eq_rsi_revert,eq_macd,eq_keltner,eq_pctb_revert,eq_roc_mom,eq_obv_slope,in_supertrend,in_bb_squeeze,in_sma_trend,in_sma_cross,in_donchian,in_trend_200,in_rsi_revert,in_macd,in_keltner,in_pctb_revert,in_roc_mom,in_obv_slope
2026-08-23T05:00:00+00:00,1787461200000,0.1886,998.5007,1000.0,1000.0,1000.0,1000.0,998.5007,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,0,0,0,0,0
2026-08-24T18:00:00+00:00,1787594400000,0.1927,1020.2073,1000.0,1000.0,1000.0,998.5007,1018.6775,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,1,0,0,0,0,0,0,0
2026-08-24T18:00:00+00:00,1787594400000,0.1927,1020.2073,1000.0,1000.0,1000.0,998.5007,1018.6775,1000.0,1000.0,1000.0,1000.0,1000.0,998.5007,1,0,0,0,1,0,0,0,0,0,0,1
2026-08-24T19:00:00+00:00,1787598000000,0.1927,1020.2073,1000.0,1000.0,1000.0,998.5007,1018.6775,1000.0,1000.0,1000.0,1000.0,1000.0,998.5007,1,0,0,0,1,0,0,0,0,0,0,1
2026-08-24T20:00:00+00:00,1787601600000,0.193,1021.7956,1000.0,1000.0,1000.0,1000.0552,1018.6775,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0552,1,0,0,0,1,0,0,0,0,0,0,1
2026-08-24T21:00:00+00:00,1787605200000,0.1938,1026.031,1000.0,1000.0,1000.0,1004.2005,1018.6775,1000.0,1000.0,1000.0,1000.0,1000.0,1004.2005,1,0,0,0,1,0,0,0,0,0,0,1
2026-08-24T22:00:00+00:00,1787608800000,0.1931,1022.325,1000.0,1000.0,1000.0,1000.5734,1018.6775,1000.0,1000.0,1000.0,1000.0,1000.0,1000.5734,1,0,0,0,1,0,0,0,0,0,0,1
2026-08-24T23:00:00+00:00,1787612400000,0.1938,1026.031,1000.0,1000.0,1000.0,1004.2005,1018.6775,1000.0,1000.0,1000.0,1000.0,1000.0,1004.2005,1,0,0,0,1,0,0,0,0,0,0,1
2026-08-25T00:00:00+00:00,1787616000000,0.1969,1042.4433,1000.0,1000.0,1000.0,1020.2636,1017.1502,1000.0,998.5007,1000.0,1000.0,1000.0,1020.2636,1,0,0,0,1,1,0,1,0,0,0,1
2026-08-25T01:00:00+00:00,1787619600000,0.1965,1040.3255,1000.0,1000.0,1000.0,1018.191,1015.0839,1000.0,996.4723,1000.0,1000.0,998.5007,1018.191,1,0,0,0,1,1,0,1,0,0,1,1
2026-08-25T02:00:00+00:00,1787623200000,0.1984,1050.3847,1000.0,1000.0,1000.0,1028.0361,1024.899,1000.0,1006.1074,1000.0,1000.0,1008.1555,1028.0361,1,0,0,0,1,1,0,1,0,0,1,1
2026-08-25T03:00:00+00:00,1787626800000,0.198,1048.267,1000.0,1000.0,1000.0,1025.9634,1022.8326,1000.0,1004.079,1000.0,1000.0,1006.1229,1025.9634,1,0,0,0,1,1,0,1,0,0,1,1
2026-08-25T04:00:00+00:00,1787630400000,0.1982,1049.3258,1000.0,1000.0,1000.0,1026.9997,1023.8658,1000.0,1005.0932,1000.0,1000.0,1007.1392,1026.9997,1,0,0,0,1,1,0,1,0,0,1,1
2026-08-25T05:00:00+00:00,1787634000000,0.199,1053.5612,1000.0,998.5007,998.5007,1031.145,1027.9985,1000.0,1009.1501,1000.0,1000.0,1011.2043,1031.145,1,0,1,1,1,1,0,1,0,0,1,1
2026-08-25T06:00:00+00:00,1787637600000,0.1963,1039.2667,1000.0,984.9533,984.9533,1017.1546,1012.5302,1000.0,995.4581,1000.0,1000.0,997.4845,1017.1546,1,0,1,1,1,0,0,1,0,0,1,1
2026-08-25T07:00:00+00:00,1787641200000,0.1941,1027.6193,1000.0,973.9146,973.9146,1005.755,1012.5302,1000.0,984.3017,1000.0,1000.0,986.3053,1005.755,1,0,1,1,1,0,0,1,0,0,1,1
2026-08-25T08:00:00+00:00,1787644800000,0.1933,1023.3839,1000.0,968.4461,968.4461,1001.6097,1012.5302,1000.0,978.7749,1000.0,1000.0,982.2402,1001.6097,1,0,0,0,1,0,0,0,0,0,1,1
2026-08-25T09:00:00+00:00,1787648400000,0.1925,1019.1484,1000.0,968.4461,968.4461,995.9687,1012.5302,1000.0,978.7749,1000.0,1000.0,978.175,997.4644,1,0,0,0,0,0,0,0,0,0,1,1
2026-08-25T10:00:00+00:00,1787652000000,0.1933,1023.3839,1000.0,968.4461,968.4461,995.9687,1012.5302,1000.0,978.7749,1000.0,1000.0,982.2402,1000.1078,1,0,0,0,0,0,0,0,0,0,1,0
2026-08-25T11:00:00+00:00,1787655600000,0.1929,1021.2661,1000.0,968.4461,968.4461,995.9687,1012.5302,1000.0,978.7749,1000.0,1000.0,978.7378,1000.1078,1,0,0,0,0,0,0,0,0,0,0,0
2026-08-25T12:00:00+00:00,1787659200000,0.1927,1020.2073,1000.0,968.4461,968.4461,995.9687,1012.5302,1000.0,978.7749,1000.0,1000.0,978.7378,1000.1078,1,0,0,0,0,0,0,0,0,0,0,0
2026-08-25T13:00:00+00:00,1787662800000,0.1903,1007.501,1000.0,968.4461,968.4461,995.9687,1012.5302,1000.0,978.7749,1000.0,1000.0,978.7378,1000.1078,1,0,0,0,0,0,0,0,0,0,0,0
2026-08-25T14:00:00+00:00,1787666400000,0.1912,1012.2659,1000.0,968.4461,968.4461,995.9687,1012.5302,1000.0,978.7749,1000.0,1000.0,978.7378,1000.1078,1,0,0,0,0,0,0,0,0,0,0,0
2026-08-25T15:00:00+00:00,1787670000000,0.1902,1006.9716,1000.0,968.4461,968.4461,995.9687,1012.5302,1000.0,978.7749,1000.0,1000.0,978.7378,1000.1078,1,0,0,0,0,0,0,0,0,0,0,0
2026-08-25T16:00:00+00:00,1787673600000,0.1909,1010.6776,1000.0,968.4461,968.4461,995.9687,1012.5302,1000.0,978.7749,1000.0,1000.0,978.7378,1000.1078,1,0,0,0,0,0,0,0,0,0,0,0
2026-08-25T17:00:00+00:00,1787677200000,0.1905,1008.5599,1000.0,968.4461,968.4461,995.9687,1012.5302,1000.0,978.7749,1000.0,1000.0,978.7378,1000.1078,1,0,0,0,0,0,0,0,0,0,0,0
